ID,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
1,How can you make a slicer selection affect visuals on multiple pages in Power BI?,Use the Edit Interactions feature,Enable the Sync Slicers feature,Create a duplicate slicer on each page,Use a Bookmark to link pages,B,The Sync Slicers pane allows you to synchronize slicer selections across multiple specific pages in a report.
2,What is a limitation of using a Relative Date slicer in Power BI?,It cannot be anchored to a specific date,It only works with DirectQuery mode,It does not support UTC time zones natively,It cannot be used with hierarchical date fields,D,Relative date slicers require a flat date column and do not support date hierarchies directly in the slicer visual.
3,Which feature allows you to prevent a specific slicer from filtering a specific visual on the same report page?,Sync Slicers,Page Level Filters,Edit Interactions,Cross-highlighting,C,"Edit Interactions allows you to select a visual (like a slicer) and define whether it filters, highlights, or has no impact on other visuals."
4,"When using a hierarchy in a Power BI slicer, how can you improve performance for large datasets?",Expand all levels by default,Use a search box for the hierarchy,Limit the number of levels and use an Apply button,Convert the slicer to a dropdown,C,"Using an Apply button defers the query execution until the user has made all their selections, reducing query load."
5,Which DAX function is commonly used to capture the value selected in a disconnected slicer for dynamic calculations?,SELECTEDVALUE,FILTER,ALLSELECTED,CALCULATE,A,"SELECTEDVALUE returns the value of the column if there is only one distinct value in the filtered context, ideal for disconnected slicers."
6,What happens when you select 'Show Select All' in a slicer's formatting options?,It forces users to select all items,It adds a 'Select All' option at the top of the slicer list,It ignores all other visual filters,It clears any existing selections,B,It provides a single checkbox/option to select or deselect all items in the slicer easily.
7,Which Power BI visual is best suited for analyzing the root cause of a metric by drilling down into contributing dimensions?,Key Influencers,Decomposition Tree,Scatter Chart,Funnel Chart,B,The Decomposition Tree visual enables users to drill down into dimensions to analyze the root cause of a specific metric.
8,"In the Key Influencers visual, what does the 'Top segments' tab display?",The highest revenue generating categories,Clusters of data points that share characteristics influencing the metric,The most frequently used dimensions in the report,The top 10 rows of the dataset,B,The Top segments tab groups data into clusters that show a combination of factors driving the selected metric.
9,What is the file extension for custom visuals imported into Power BI from a local file?,.pbiviz,.pbit,.pbix,.pbdic,A,Custom visuals developed for Power BI are packaged and imported as .pbiviz files.
10,Which visual natively supports a 'Play Axis' to animate data over time?,Line Chart,Matrix,Scatter Chart,Decomposition Tree,C,The Scatter chart natively supports adding a date/time field to the Play Axis to animate how data points move over time.
11,What is the primary difference between a Gauge visual and a KPI visual in Power BI?,Gauge shows historical trends; KPI does not,KPI requires a trend axis; Gauge only shows a single value against a goal,Gauge can handle multiple measures; KPI only handles one,There is no difference,B,"A KPI visual requires a base value, a target value, and a trend axis (time), while a Gauge only shows a value relative to a minimum, maximum, and target."
12,"When using the Shape Map visual in Power BI, what format must custom maps be in?",GeoJSON,TopoJSON,KML,Shapefile (.shp),B,The Shape Map visual in Power BI requires custom maps to be imported in the TopoJSON format.
13,Which button action allows users to clear all filters on a report page simultaneously?,Q&A,Drill through,Bookmark,Web URL,C,"By creating a bookmark with the default unfiltered state and assigning it to a button's Action, you can simulate a 'Clear Filters' button."
14,How can you dynamically change the text displayed on a Power BI button?,Use the Format Painter,Use a DAX measure and conditional formatting (fx) for the Button Text,Group the button with a Card visual,It is not possible to change button text dynamically,B,You can use conditional formatting (the fx icon) on the Button Text property to assign a DAX measure that dynamically updates the text.
15,Which button state allows you to format how a button looks when a user hovers their mouse over it?,Default state,On hover,On press,Disabled,B,The 'On hover' state allows you to apply specific formatting (like color changes or tooltips) when the user's cursor is over the button.
16,"To create a 'Drill through' button, what must be true about the button's action destination?",It must be a web URL,It is determined by the selection in a specific visual on the page,It must be an external workspace,It must be a paginated report,B,A Drill through button becomes enabled when a user selects a data point in a visual that has a valid drill-through destination defined.
17,What happens if a user clicks a button configured with a 'Page navigation' action but lacks access to the target page via RLS?,The button disappears,They navigate to the page but see empty visuals,Power BI crashes,The page is dynamically populated with their permitted data,B,"Row-Level Security (RLS) restricts data visibility, so they will navigate to the page but visuals will return empty/no data for restricted items."
18,Which button action is specifically designed to trigger a Power Automate flow directly from the report?,Web URL,Power Automate,Bookmark,Q&A,B,Power BI has a dedicated 'Power Automate for Power BI' visual/button that triggers flows based on report interactions.
19,Which storage mode does not cache data in Power BI and sends queries directly to the underlying data source?,Import,DirectQuery,Dual,Live Connection,B,DirectQuery does not import data into the Power BI dataset; it queries the data source directly at runtime.
20,What is the purpose of 'Dual' storage mode in a Power BI composite model?,To store data in both AWS and Azure,To allow a table to act as either Import or DirectQuery depending on the query context,To duplicate the dataset for backup purposes,To query two different databases simultaneously,B,Dual mode allows a table to behave as Import (for speed) or DirectQuery (to maintain relationships with other DirectQuery tables) automatically.
21,Which feature must be supported by the data source to enable 'Query Folding' in Power Query?,Native SQL execution,DAX evaluation,Python scripting,OData feeds only,A,Query Folding relies on Power Query's ability to translate transformation steps into a single native query (like SQL) sent to the source database.
22,"When connecting Power BI to an Excel file hosted on SharePoint Online, which connector should be used for automated refresh without a gateway?",Web,Local File,OData Feed,SharePoint Folder,A,Using the Web connector with the SharePoint file's URL (excluding the ?web=1 parameter) allows cloud-to-cloud refresh without a gateway.
23,What happens if a transformation step in Power Query breaks 'Query Folding'?,The query fails to execute,All subsequent steps are performed in memory by the Power BI mashup engine,The data source connection is dropped,DirectQuery mode is automatically enforced,B,"Once query folding breaks, the mashup engine retrieves the raw data up to that step and processes all subsequent transformations locally in memory."
24,What is a .pbids file used for in Power BI?,To define custom visuals,To store DAX measures,To streamline the 'Get Data' experience by providing pre-configured connection settings,To export report templates,C,"A PBIDS file contains data connection settings, allowing users to double-click the file and immediately connect to the source in Power BI Desktop."
25,"In Power BI Pro, what is the maximum number of times you can schedule a dataset refresh per day?",8,24,48,Unlimited,A,"Power BI Pro licenses allow up to 8 scheduled refreshes per day, whereas Premium/PPU allows up to 48."
26,Which two parameters are mandatory for configuring Incremental Refresh in Power BI?,RangeStart and RangeEnd,StartDate and EndDate,RefreshStart and RefreshEnd,DataStart and DataEnd,A,Incremental refresh requires specifically named datetime parameters 'RangeStart' and 'RangeEnd' to filter the data partitions.
27,Which type of Power BI Gateway is required if multiple users need to share data source connections and scheduled refreshes?,On-premises data gateway (personal mode),On-premises data gateway (standard mode),Cloud data gateway,Virtual network data gateway,B,"The standard mode gateway allows multiple users to connect to multiple on-premises data sources, unlike personal mode which is for a single user."
28,"If a dataset refresh fails in the Power BI Service, who receives the failure notification by default?",The workspace admin,The dataset owner,All users with read access,The capacity admin,B,"By default, refresh failure emails are sent to the dataset owner, though additional recipients can be configured in the dataset settings."
29,"When configuring a scheduled refresh, what does the 'Gateway connection' section indicate?",Whether a gateway is required and configured for on-premises data sources,The API limits of the data source,The firewall settings of the Power BI service,The DAX optimization level,A,This section maps the dataset's data sources to specific data source connections configured within an available gateway.
30,How can you trigger a Power BI dataset refresh outside of the scheduled times automatically after an ETL job completes?,Use the Power BI REST API to trigger a refresh,Use a Bookmark,Use a calculated column,It is not possible,A,The Power BI REST APIs allow external tools (like Azure Data Factory) to trigger a dataset refresh programmatically after data loads are complete.
31,How does Snowflake physically organize data in its storage layer?,In row-based blocks,In contiguous pages,"In compressed, columnar micro-partitions",In uncompressed text files,C,"Snowflake automatically divides data into micro-partitions, which are organized in a compressed, columnar format."
32,Which role in Snowflake is generally recommended for creating and managing custom roles?,ACCOUNTADMIN,SYSADMIN,SECURITYADMIN,USERADMIN,C,"USERADMIN is dedicated to creating roles and users, while SECURITYADMIN can manage any object grant globally. SYSADMIN is for database objects."
33,What is the maximum retention period for Time Travel in Snowflake Enterprise Edition?,1 day,7 days,30 days,90 days,D,"In Snowflake Enterprise Edition and above, the maximum Time Travel retention period for permanent tables is 90 days."
34,"Which feature allows you to create an instantaneous, fully usable copy of a database without replicating the physical storage?",Data Replication,Zero-Copy Cloning,Fail-safe,Materialized Views,B,"Zero-copy cloning creates metadata pointers to the original micro-partitions, meaning no physical data is copied until changes are made."
35,What is the duration of Snowflake's Fail-safe period for permanent tables?,0 days,1 day,7 days,14 days,C,Fail-safe provides a non-configurable 7-day period for historical data recovery by Snowflake Support after the Time Travel period ends.
36,Which Snowflake object is specifically designed to perform Change Data Capture (CDC) by tracking DML changes to a table?,Task,Pipe,Stream,Sequence,C,"A Stream object records data manipulation language (DML) changes made to tables, allowing you to consume the changed data."
